,X,Y,fact_ampl,fact_freq
99,367694.84,6352663.22,63.2373979172,15.0390532121
100,367701.64,6354536.37,5.28925276711,10.0685155023
101,367702.74,6352613.74,93.0178533008,12.585690306199998
102,367709.44,6354487.09,-12.3750511889,10.865102933800001
103,367710.54,6352564.76,103.769496152,14.3104863946
104,367717.33,6354437.31,-13.3815203701,10.9801021728
105,367718.33,6352515.28,77.8908240846,18.7846114276
106,367725.23,6354388.03,22.340654264899996,8.22247920897
107,367726.23,6352465.8,80.2831008346,14.063190349400001
108,367733.03,6354338.85,-1.05148509661,5.9541680784399995
109,367734.13,6352416.32,97.8101949528,15.096736428900002
110,367740.82,6354289.77,48.0668542043,10.755067520199999
111,367741.92,6352366.94,96.4213073204,14.3239543842
112,367748.62,6354240.19,10.0633161036,15.1895325865
