,X,Y,fact_ampl,fact_freq
98,367693.84,6354585.75,1.6885365072999998,4.79213600073
99,367694.84,6352663.22,1.2987578068999999,6.29280559521
100,367701.64,6354536.37,1.7304211498500002,4.93071873907
101,367702.74,6352613.74,1.7030179742200002,8.143720910039999
102,367709.44,6354487.09,1.39144459826,6.263370448940001
103,367710.54,6352564.76,1.35790083627,7.19687213783
104,367717.33,6354437.31,1.19544984667,5.850075228759999
105,367718.33,6352515.28,3.37012510014,12.1768464665
106,367725.23,6354388.03,1.5892357646700002,6.62888514919
107,367726.23,6352465.8,1.63244312259,7.291864610289999
108,367733.03,6354338.85,1.20921052724,5.4967430693
109,367734.13,6352416.32,1.3505442833,8.665641405039999
110,367740.82,6354289.77,1.31587802051,3.61394516055
111,367741.92,6352366.94,1.9688778764500001,11.4042719816
