,V0,X,Y,FFID,Elevation
5426,1.2,377952.54,6348443.71,22775142,103.5
5427,1.2857142857142858,377217.43,6348933.71,22895129,112.0
5428,1.2857142857142858,376454.54,6352152.92,23555124,119.4
5429,1.2857142857142858,378001.92,6348451.6,22775143,103.2
5430,1.5,377168.05,6348925.91,22895128,111.4
5431,1.3846153846153846,376404.76,6352145.03,23555123,119.7
5432,1.125,378051.7,6348459.5,22775144,103.0
5433,1.2857142857142858,377118.47,6348918.02,22895127,111.7
5434,1.2857142857142858,376355.48,6352137.23,23555122,119.9
5435,1.3846153846153846,377069.39,6348910.32,22895126,112.4
5436,1.2,376306.2,6352129.43,23555121,119.9
5437,1.2857142857142858,377020.01,6348902.52,22895125,111.5
5438,1.3846153846153846,376970.63,6348894.63,22895124,112.5
5439,1.6363636363636365,376921.05,6348886.83,22895123,112.3
5440,1.0833333333333333,378098.18,6348162.52,22715144,103.6
5441,1.3846153846153846,376871.87,6348879.03,22895122,111.2
5442,1.2,378049.0,6348154.72,22715143,104.1
5443,1.3846153846153846,376822.39,6348871.24,22895121,113.1
5444,1.2,377999.32,6348146.93,22715142,104.4
5445,0.72,377949.84,6348139.13,22715141,102.4
5446,0.75,377900.86,6348131.43,22715140,102.5
5447,1.0833333333333333,377851.48,6348123.63,22715139,103.3
5448,1.5,376869.17,6348574.95,22835121,106.9
5449,1.6363636363636365,376918.55,6348582.65,22835122,106.8
5450,0.8863636363636364,377794.4,6348165.22,22725138,103.3
5451,1.6363636363636365,376967.93,6348590.45,22835123,107.3
5452,1.2,377017.41,6348598.34,22835124,107.7
5453,1.125,377737.62,6348206.5,22735137,104.5
5454,1.6363636363636365,377066.89,6348606.14,22835125,107.7
5455,1.3846153846153846,377116.27,6348613.94,22835126,107.6
5456,1.125,376220.33,6352672.41,23665121,120.6
5457,1.125,377165.35,6348621.64,22835127,108.0
5458,1.0588235294117647,376269.71,6352680.21,23665122,121.5
5459,1.2857142857142858,377215.03,6348629.53,22835128,108.2
5460,0.9473684210526316,377264.21,6348637.23,22835129,107.7
5461,1.3846153846153846,376318.89,6352688.01,23665123,118.9
5462,1.125,377313.59,6348645.23,22835130,107.6
5463,1.2,377363.07,6348653.02,22835131,107.2
5464,1.0,377412.55,6348660.92,22835132,107.1
5465,1.2857142857142858,377458.94,6348364.94,22775132,103.6
5466,1.3846153846153846,377409.66,6348357.14,22775131,104.0
5467,0.5806451612903226,377360.18,6348349.34,22775130,103.4
5468,1.0,377311.0,6348341.45,22775129,103.5
5469,1.3846153846153846,377261.52,6348333.65,22775128,104.0
5470,1.2,377212.03,6348325.85,22775127,104.1
5471,1.2,377162.95,6348318.06,22775126,103.2
5472,1.0588235294117647,377113.57,6348310.26,22775125,103.9
5473,1.0,377064.09,6348302.36,22775124,104.3
5474,1.0588235294117647,377014.61,6348294.57,22775123,104.8
5475,1.125,376965.33,6348286.77,22775122,104.2
5476,1.3846153846153846,376915.75,6348278.87,22775121,103.8
5477,1.2857142857142858,376259.52,6352425.61,23615121,121.7
5478,1.2857142857142858,376308.8,6352433.41,23615122,121.2
5479,1.3846153846153846,376357.68,6352441.11,23615123,120.3
5480,1.5,376407.16,6352448.7,23615124,119.5
5481,1.2857142857142858,376456.54,6352456.5,23615125,118.7
5482,1.0,376506.32,6352464.6,23615126,118.3
5483,1.3846153846153846,376555.6,6352472.39,23615127,119.4
5484,1.2,376604.88,6352480.19,23615128,120.6
5485,1.0588235294117647,376654.16,6352487.99,23615129,121.5
5486,1.125,376719.23,6352396.92,23595130,121.6
5487,1.2,376226.83,6354545.76,24035127,128.6
5488,1.0588235294117647,377382.57,6345012.78,22115120,120.6
5489,1.0,377333.09,6345004.98,22115119,120.6
5490,1.0,377283.81,6344997.19,22115118,120.8
5491,1.0,377234.23,6344989.29,22115117,120.9
5492,1.0,377184.85,6344981.49,22115116,120.9
5493,1.0588235294117647,377135.97,6344973.79,22115115,120.8
5494,1.2857142857142858,375834.39,6354787.37,24095120,129.2
5495,1.2857142857142858,376350.58,6351529.17,23435120,122.1
5496,1.2,375785.01,6354779.57,24095119,129.0
5497,1.2857142857142858,376300.7,6351521.27,23435119,122.4
5498,1.6363636363636365,375736.03,6354771.77,24095118,128.9
5499,1.125,376251.82,6351513.48,23435118,123.0
5500,1.2,375686.55,6354763.98,24095117,128.6
5501,1.125,376202.84,6351505.78,23435117,123.4
5502,1.125,375637.27,6354756.18,24095116,128.9
5503,1.2857142857142858,377088.78,6345269.98,22175115,117.8
5504,1.125,376153.36,6351497.88,23435116,123.4
5505,1.3846153846153846,375587.68,6354748.28,24095115,128.3
5506,1.0,377138.16,6345277.77,22175116,119.0
5507,1.0588235294117647,376103.48,6351489.99,23435115,123.6
5508,1.0588235294117647,377187.64,6345285.67,22175117,119.1
5509,1.0588235294117647,377236.82,6345293.37,22175118,119.2
5510,1.0588235294117647,377286.11,6345301.16,22175119,119.2
5511,1.2,376150.86,6351193.91,23375115,122.2
5512,1.125,377335.69,6345309.06,22175120,119.1
5513,1.2857142857142858,375634.37,6354452.0,24035115,128.6
5514,1.2,376200.04,6351201.7,23375116,121.6
5515,1.3846153846153846,375683.95,6354459.8,24035116,128.3
5516,1.2,376249.32,6351209.5,23375117,121.7
5517,1.2,376298.4,6351217.3,23375118,121.2
5518,1.3846153846153846,375732.93,6354467.6,24035117,127.8
5519,1.2,376347.98,6351225.09,23375119,121.3
5520,1.2857142857142858,375782.31,6354475.39,24035118,127.6
5521,1.2,377288.8,6345604.64,22235120,118.5
5522,1.2,376397.96,6351232.99,23375120,121.3
5523,1.125,375831.99,6354483.29,24035119,127.7
5524,1.2857142857142858,377239.22,6345596.85,22235119,115.7
5525,1.0588235294117647,375881.57,6354491.09,24035120,127.9
5526,1.0,377190.04,6345589.05,22235118,118.7
5527,1.125,377140.86,6345581.25,22235117,118.9
5528,1.125,377091.18,6345573.35,22235116,118.9
5529,1.125,377041.9,6345565.46,22235115,118.7
5530,1.2857142857142858,376444.44,6350936.81,23315120,120.1
5531,1.3846153846153846,376395.26,6350929.01,23315119,120.5
5532,1.2857142857142858,375928.15,6354194.81,23975120,126.7
5533,1.2857142857142858,375878.87,6354187.01,23975119,127.2
5534,1.125,376345.78,6350921.12,23315118,120.8
5535,1.3846153846153846,375829.49,6354179.21,23975118,126.6
5536,1.125,376994.82,6345861.94,22295115,118.9
5537,1.2,376296.5,6350913.32,23315117,121.5
5538,1.125,375780.01,6354171.41,23975117,126.7
5539,1.125,377044.7,6345869.84,22295116,118.5
5540,1.2857142857142858,376246.92,6350905.52,23315116,121.7
5541,1.3846153846153846,375730.63,6354163.62,23975116,127.1
5542,1.0588235294117647,377093.48,6345877.63,22295117,118.1
5543,1.2,375681.45,6354155.82,23975115,127.5
5544,1.125,376197.64,6350897.72,23315115,121.6
